[ NOTICE ] Server started on http://127.0.0.1:8080
[ INFO ] GET /validate [request-id: 8530DBE9-C0B9-48B7-8BD9-11E09BA17212]
[ INFO ] GET /auth/getToken [request-id: 52F4A18A-B962-4E1C-A8F0-3E062ED8A897]
[ INFO ] POST /internal/attendance-analysis/observations/rebuild-all [request-id: 973BCC30-89B2-41F3-BD79-E7765B908622]
[ INFO ] POST /internal/attendance-analysis/observations/rebuild-all [request-id: 4DC724AB-FD8C-4FEB-BB1F-CBF7B0D300FC]
[ INFO ] POST /internal/attendance-analysis/observations/rebuild-all [request-id: 6F6F45F6-F2E1-4A6A-8ACE-227FD5F17649]
[ INFO ] POST /internal/attendance-analysis/observations/rebuild-all [request-id: 003C950E-E542-4F3E-8FB4-DB0B4C874A43]
[ INFO ] POST /internal/attendance-analysis/observations/rebuild-all [request-id: 774E1E66-7991-4126-9918-C59BF73BA8F3]
[ INFO ] POST /internal/attendance-analysis/observations/rebuild-all [request-id: 82D5A62E-9A66-469A-BC21-685A2EB6AA6A]
[ INFO ] POST /internal/attendance-analysis/observations/rebuild-all [request-id: 17429A35-4B5B-4B23-8AC1-295E6C766563]
[ INFO ] POST /internal/attendance-analysis/observations/rebuild-all [request-id: BE837EAA-8364-42EC-A202-8106902A2089]
[ INFO ] POST /internal/attendance-analysis/observations/rebuild-all [request-id: 99D60D65-3262-4EC2-A074-D298071286D2]
[ INFO ] POST /internal/attendance-analysis/observations/rebuild-all [request-id: 1519890B-1D8E-49E2-9E50-9FE05F210F6C]
[ INFO ] POST /internal/attendance-analysis/observations/rebuild-all [request-id: 21F37EBA-FAEC-4F9F-A692-35A9400E306A]
[ INFO ] POST /internal/attendance-analysis/observations/rebuild-all [request-id: 3673472B-72EA-4B3B-B077-E3FC997738F9]
[ INFO ] POST /internal/attendance-analysis/observations/rebuild-all [request-id: 9FF78E30-2F7E-4579-BBE3-0A4A31D3211D]
[ INFO ] POST /internal/attendance-analysis/observations/rebuild [request-id: 89791328-2744-492B-A78F-6EE267884D8B]
[ INFO ] GET /validate [request-id: 0D4A8B67-4678-4DC0-B1BD-B6A60CD44C81]
[ INFO ] GET /auth/getToken [request-id: B53D6E05-AB9A-4B5E-ADEC-9481F10DF148]
[ INFO ] GET /internal/external-context/2026-04-27 [request-id: FDBDFC79-F761-43BC-9995-AAF3E3A6D13B]
[ INFO ] GET /internal/external-context/2026-04-27 [request-id: A32C3A15-0DCC-4852-A576-FBA21C953F85]
[ WARNING ] Abort.401: {"error":true,"reason":"Invalid authorization token"} [request-id: A32C3A15-0DCC-4852-A576-FBA21C953F85]
[ INFO ] GET /auth/getToken [request-id: 47497A6F-BFFE-4682-8B64-C64C6ADA5481]
[ INFO ] GET /internal/external-context/2026-04-27 [request-id: 89777BF7-3D47-4777-AFB4-F7A8536995C2]
