[ INFO ] [Migrator] Starting prepare [database-id: mysql, migration: AttendanceAnalysisService.CreateAttendanceDayObservation]
[ INFO ] [Migrator] Finished prepare [database-id: mysql, migration: AttendanceAnalysisService.CreateAttendanceDayObservation]
[ INFO ] [Migrator] Starting prepare [database-id: mysql, migration: AttendanceAnalysisService.CreateAttendanceAnalysisResult]
[ INFO ] [Migrator] Finished prepare [database-id: mysql, migration: AttendanceAnalysisService.CreateAttendanceAnalysisResult]
[ INFO ] [Migrator] Starting prepare [database-id: mysql, migration: AttendanceAnalysisService.AddAttendanceAnalysisResultCoreSignals]
[ INFO ] [Migrator] Finished prepare [database-id: mysql, migration: AttendanceAnalysisService.AddAttendanceAnalysisResultCoreSignals]
[ INFO ] [Migrator] Starting prepare [database-id: mysql, migration: AttendanceAnalysisService.AddAttendanceAnalysisResultClusteringFields]
[ INFO ] [Migrator] Finished prepare [database-id: mysql, migration: AttendanceAnalysisService.AddAttendanceAnalysisResultClusteringFields]
[ INFO ] [Migrator] Starting prepare [database-id: mysql, migration: AttendanceAnalysisService.AddAttendanceAnalysisResultMLPFields]
[ INFO ] [Migrator] Finished prepare [database-id: mysql, migration: AttendanceAnalysisService.AddAttendanceAnalysisResultMLPFields]
[ INFO ] [Migrator] Starting prepare [database-id: mysql, migration: AttendanceAnalysisService.CreateAttendanceMLPFeedbackSample]
[ INFO ] [Migrator] Finished prepare [database-id: mysql, migration: AttendanceAnalysisService.CreateAttendanceMLPFeedbackSample]
[ INFO ] [Migrator] Starting prepare [database-id: mysql, migration: AttendanceAnalysisService.CreateAttendanceClusteringModelRecord]
[ INFO ] [Migrator] Finished prepare [database-id: mysql, migration: AttendanceAnalysisService.CreateAttendanceClusteringModelRecord]
[ NOTICE ] Server started on http://127.0.0.1:8085
[ INFO ] GET /validate [request-id: A8225340-82B7-4EF7-AE7F-DCE9C17BA8DC]
[ INFO ] POST /internal/attendance-analysis/clustering/rebuild [request-id: 9F06AE20-3725-49F4-9E80-498AF91AD86B]
[ INFO ] POST /internal/attendance-analysis/clustering/run [request-id: 1B8BCBEF-AE4F-4567-87D9-1C480C04923D]
[ INFO ] POST /internal/attendance-analysis/clustering/run [request-id: 5185A1A0-E518-4857-BD3B-F9E5A472761A]
[ INFO ] POST /internal/attendance-analysis/clustering/run [request-id: 17F94C1D-D6F8-451D-96EC-1F18375B8886]
[ INFO ] POST /internal/attendance-analysis/clustering/run [request-id: F2D9DC64-0367-4E24-B7A1-2D19DE0F3BB3]
[ INFO ] POST /internal/attendance-analysis/clustering/run [request-id: 50B622E1-82DE-4790-8F61-D41D1AB8C220]
[ INFO ] POST /internal/attendance-analysis/clustering/run [request-id: BFA101FA-C36D-401F-BBD6-ADB2C8BC770A]
[ INFO ] POST /internal/attendance-analysis/clustering/run [request-id: DB85A489-A35B-4FF2-9EDA-C6C867AB974C]
[ INFO ] POST /internal/attendance-analysis/clustering/run [request-id: A6040815-109E-4F38-8D23-F35F0771AB94]
[ INFO ] POST /internal/attendance-analysis/clustering/run [request-id: 5BCD9D45-DE94-43FD-B5BB-BDCDD4E014B6]
[ INFO ] POST /internal/attendance-analysis/clustering/run [request-id: 56B8CFE8-F7A9-40FC-8553-0396E64F8FEC]
[ INFO ] POST /internal/attendance-analysis/clustering/run [request-id: B861A292-C303-49B9-936E-373054B72C8E]
[ INFO ] POST /internal/attendance-analysis/clustering/run [request-id: 02E2577B-5E48-438D-9790-77C5E1277449]
[ INFO ] POST /internal/attendance-analysis/clustering/run [request-id: 45A6BE36-E570-4E36-A041-07EA15DA2607]
[ INFO ] POST /internal/attendance-analysis/clustering/run [request-id: 21C531BB-3A48-4459-A2C9-701FAD84ABFB]
[ INFO ] POST /internal/attendance-analysis/clustering/run [request-id: 3ED2B48F-AD95-4653-80FA-FCC15CA71CAD]
[ INFO ] POST /internal/attendance-analysis/clustering/run [request-id: 0DF458A3-33D5-4326-B891-F2BB402C921E]
[ INFO ] POST /internal/attendance-analysis/clustering/run [request-id: A8AC2CE9-106E-4D1D-A652-8AA37CB54B2E]
[ INFO ] POST /internal/attendance-analysis/clustering/run [request-id: 97A49664-C827-4155-B3EB-E5C8D1393D51]
[ INFO ] POST /internal/attendance-analysis/clustering/run [request-id: 7ED19B86-0FEE-4A29-BFB0-8650C8F7FD48]
[ INFO ] POST /internal/attendance-analysis/clustering/run [request-id: 2591684A-939D-4BBE-B240-1A9FA95FDAA1]
[ INFO ] POST /internal/attendance-analysis/clustering/run [request-id: A99B5523-7A6E-4E31-8235-346055143621]
[ INFO ] POST /internal/attendance-analysis/clustering/run [request-id: AAD8CCB8-8AE8-40AA-8A83-9A824DE0358E]
[ INFO ] POST /internal/attendance-analysis/clustering/run [request-id: D3B23A4D-EBF4-431C-9526-0BFB82EB0462]
[ INFO ] POST /internal/attendance-analysis/clustering/run [request-id: 8451AB69-F170-4374-BDBA-116ED7EA1980]
[ INFO ] POST /internal/attendance-analysis/clustering/run [request-id: F4DA4A2B-DD68-475D-9B72-8821840C938A]
[ INFO ] POST /internal/attendance-analysis/clustering/run [request-id: 24F6578F-7C99-479B-A355-A3DFCEAF7B23]
[ INFO ] POST /internal/attendance-analysis/clustering/run [request-id: FC546CF0-9CDA-4EBA-8836-A39070BCA2A5]
[ INFO ] POST /internal/attendance-analysis/clustering/run [request-id: 355B09CC-C001-4EF7-A190-01AEEE35717A]
[ INFO ] POST /internal/attendance-analysis/clustering/run [request-id: B955F5F8-59FA-4F22-B80E-EC86150F78E3]
[ INFO ] POST /internal/attendance-analysis/clustering/run [request-id: 7217465E-A222-4630-AD2F-4D21654BCA20]
[ INFO ] POST /internal/attendance-analysis/clustering/run [request-id: 058FAF01-362E-40D7-8ABB-5FD8F4F866E5]
[ INFO ] POST /internal/attendance-analysis/clustering/run [request-id: 3383A281-492C-409F-A5D7-0EA1B58F3BF1]
[ INFO ] POST /internal/attendance-analysis/clustering/run [request-id: 8D4768C2-C99F-439F-9AA0-B3565656BFEA]
[ INFO ] POST /internal/attendance-analysis/clustering/run [request-id: B9090BD1-6641-4A45-A9C0-F68C2AED5733]
[ INFO ] POST /internal/attendance-analysis/clustering/run [request-id: 63AEBFAF-F306-458D-BDD6-11F9238A9A3F]
[ INFO ] POST /internal/attendance-analysis/clustering/run [request-id: 8818B58A-9ADE-40CC-8EAA-542A31451B77]
[ INFO ] POST /internal/attendance-analysis/clustering/run [request-id: 96D768A7-13A7-4885-A052-9C96EEEF409D]
[ INFO ] POST /internal/attendance-analysis/clustering/run [request-id: 3B85079A-4A6B-489B-A192-9C2E0F1AABC4]
[ INFO ] POST /internal/attendance-analysis/clustering/run [request-id: C3BC0601-D2C5-4BB5-9078-7A5BDF86BBCC]
[ INFO ] POST /internal/attendance-analysis/clustering/run [request-id: 9EF79CCE-BFFF-421E-99E7-9751B6579EB0]
