[ INFO ] [Migrator] Starting prepare [database-id: mysql, migration: DirectoryService.CreateDirectoryEmployer]
[ INFO ] [Migrator] Finished prepare [database-id: mysql, migration: DirectoryService.CreateDirectoryEmployer]
[ INFO ] [Migrator] Starting prepare [database-id: mysql, migration: DirectoryService.AddDirectoryEmployerWorkNormMinutes]
[ INFO ] [Migrator] Finished prepare [database-id: mysql, migration: DirectoryService.AddDirectoryEmployerWorkNormMinutes]
[ INFO ] [Migrator] Starting prepare [database-id: mysql, migration: DirectoryService.CreateDirectoryCard]
[ INFO ] [Migrator] Finished prepare [database-id: mysql, migration: DirectoryService.CreateDirectoryCard]
[ INFO ] [Migrator] Starting prepare [database-id: mysql, migration: DirectoryService.CreateDirectoryFinger]
[ INFO ] [Migrator] Finished prepare [database-id: mysql, migration: DirectoryService.CreateDirectoryFinger]
[ NOTICE ] Server started on http://127.0.0.1:8082
[ INFO ] GET /validate [request-id: 81C09F46-7872-4697-B07E-07C26AE851B5]
[ INFO ] GET /internal/directory/employers [request-id: 4CB53231-AE46-4746-8144-0E789E609881]
[ INFO ] GET /internal/directory/employers [request-id: CDF21231-47BA-4045-8FA1-0BE021DD7DD4]
[ INFO ] GET /internal/directory/employers [request-id: 1F550379-1889-4C6D-ADC3-7D7F6E066736]
[ INFO ] GET /internal/directory/employers [request-id: BE8AC2A7-C7DB-4ADA-8A83-AD2C25B07979]
[ INFO ] GET /internal/directory/employers [request-id: 38BEBEB3-16BF-4082-B8BD-8DCD33E7D89F]
[ INFO ] GET /internal/directory/employers [request-id: 5A0854DC-5450-456C-ADD7-3016B35DDD42]
[ INFO ] GET /internal/directory/employers [request-id: 5D782F29-C7BD-4C03-8A04-3A7A40BAD1C7]
[ INFO ] GET /internal/directory/employers [request-id: EB8C0B78-488A-499C-AE74-917110034C9E]
[ INFO ] GET /internal/directory/employers [request-id: 574E80C9-E325-4C8D-8E6F-A3B0708CFF21]
[ INFO ] GET /internal/directory/employers [request-id: 29E2F09C-636C-455D-95B5-E714A5C596B0]
[ INFO ] GET /internal/directory/employers [request-id: 2ABEFF3B-3AA6-49BF-BD5C-D5B0F8433A49]
[ INFO ] GET /internal/directory/employers [request-id: 65FB4DB9-2A51-4D57-8194-223EA82E0628]
[ INFO ] GET /internal/directory/employers [request-id: 6FD01C60-8660-4095-9209-C50B7607A0C5]
[ INFO ] GET /internal/directory/employers/11111111-1111-1111-1111-111111111111 [request-id: 06186B7B-D5EA-408D-871E-A6802C594D4C]
