[ INFO ] [Migrator] Starting prepare [database-id: mysql, migration: ExternalContextService.CreateExternalContextCache]
[ INFO ] [Migrator] Finished prepare [database-id: mysql, migration: ExternalContextService.CreateExternalContextCache]
[ NOTICE ] Server started on http://127.0.0.1:8086
[ INFO ] GET /validate [request-id: 86BBB2B5-0A88-4B5F-A937-0FA991743A9C]
[ INFO ] GET /internal/external-context/2025-06-02 [request-id: 867776D6-8BFE-4096-A2DE-D02F657727CB]
[ INFO ] GET /internal/external-context/2025-06-02 [request-id: 55228DC3-6426-4126-8171-1BCBE053BCF5]
[ INFO ] GET /internal/external-context/2025-06-02 [request-id: 4ECD8543-0F8B-455A-9E63-6DFE7FCCBF41]
[ INFO ] GET /internal/external-context/2025-06-02 [request-id: 0E36EFF6-E775-4CB1-8E70-AFE187113D2F]
[ INFO ] GET /internal/external-context/2025-06-02 [request-id: 24E4CCF9-9834-4CE5-9E71-73247B2B43EF]
[ INFO ] GET /internal/external-context/2025-06-02 [request-id: 44CBD1F7-65EE-4EF1-8BB7-C44CBDD1EE29]
[ INFO ] GET /internal/external-context/2025-06-02 [request-id: C416BD21-EA1A-44E0-8344-33CB113423B3]
[ INFO ] GET /internal/external-context/2025-06-02 [request-id: 5E38DA69-AEFC-4EE7-AC6F-9127A437AB7A]
[ INFO ] GET /internal/external-context/2025-06-02 [request-id: 6067B7EA-B75B-4200-83DB-A61FED92BF01]
[ INFO ] GET /internal/external-context/2025-06-02 [request-id: ECAC2957-45AE-4B7B-B9DB-93666949934A]
[ INFO ] GET /internal/external-context/2025-06-03 [request-id: EF90ACB7-FA05-49C4-80A9-68675FF96DD4]
[ INFO ] GET /internal/external-context/2025-06-03 [request-id: AB8767E0-4BF5-45E0-A2ED-8FEDC990C479]
[ INFO ] GET /internal/external-context/2025-06-03 [request-id: B50625AA-A9E1-4F02-8E1D-F9D9D4F1236B]
[ INFO ] GET /internal/external-context/2025-06-03 [request-id: 864A7DE9-3050-4F40-AF7B-F75545CB8587]
[ INFO ] GET /internal/external-context/2025-06-03 [request-id: 85BEE6E9-B5D4-46BC-8148-8C25D45E756E]
[ INFO ] GET /internal/external-context/2025-06-03 [request-id: 13745974-3973-4B35-BB00-FA789C9C6E08]
[ INFO ] GET /internal/external-context/2025-06-03 [request-id: 42D58322-0F35-4DFB-A3D8-9A80692720C7]
[ INFO ] GET /internal/external-context/2025-06-03 [request-id: A48F9AD5-4373-4E91-BD00-D3A34336837B]
[ INFO ] GET /internal/external-context/2025-06-03 [request-id: C19A0C49-6DC8-4C6F-97F1-049714E33A9E]
[ INFO ] GET /internal/external-context/2025-06-03 [request-id: 1066858A-EDBA-4883-83A0-D4A81F5E6DB5]
[ INFO ] GET /internal/external-context/2025-06-03 [request-id: E584D5AA-32B5-4440-913A-C248CA3FD4A0]
[ INFO ] GET /internal/external-context/2025-06-03 [request-id: 7F1D925F-868E-4697-BED0-ADE176973839]
[ INFO ] GET /internal/external-context/2025-06-03 [request-id: 1E6CF5CD-046A-45F8-B42F-CA84F5078B3D]
[ INFO ] GET /internal/external-context/2025-06-04 [request-id: 619E246A-D085-4307-8C84-C00A590C3583]
[ INFO ] GET /internal/external-context/2025-06-04 [request-id: BCEEA4AE-7DCA-4239-A9D4-ECDAB30D6781]
[ INFO ] GET /internal/external-context/2025-06-04 [request-id: 431F72A6-5D56-41C1-A383-E26CAA753287]
[ INFO ] GET /internal/external-context/2025-06-04 [request-id: 952B468B-6421-4413-AF48-23E923037072]
[ INFO ] GET /internal/external-context/2025-06-04 [request-id: 5C7949F7-2D5E-4DE7-8A7C-C908864B8858]
[ INFO ] GET /internal/external-context/2025-06-04 [request-id: D6FF0FCC-356A-4450-BA4F-604064ABA598]
